super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
2020,University Of Louisiana At Monroe,Monroe,LA,59700,35000,20.35144,0.47688931,17.991072,0.7195037,3.6614423,0.14642936,-8.240428,-6.5914688,1051
2713,Dominican College Of Blauvelt,Newark,NY,88900,48900,7.5897069,0.43007863,48.201897,2.7854118,3.6583827,0.21140459,3.2527413,-2.281018,140
1694,Chicago State University,Chicago,IL,43700,31900,25.747425,0.051270898,14.182775,0.012042783,3.6516991,0.003100707,-1.1236805,4.0197635,417
2866,Fashion Institute Of Technology,New York,NY,79800,36700,12.86495,1.841401,28.359838,0.63694942,3.6484792,0.081943229,-5.6250076,-11.194515,1208.333333
13029,Boricua College,New York,NY,28900,23200,46.65152,0.12511554,7.7926135,0.028288893,3.6353729,0.013197199,-4.5999217,0.073042825,92.5
1526,Saint Leo University,Tampa,FL,57300,38000,18.977495,0.38098201,19.150831,0.77829254,3.6343482,0.14770044,-6.7169509,-11.700923,694
94,ITT Technical Institute,Indianapolis,IN,52600,35600,19.454643,0.24701527,18.68042,0.16852589,3.6342092,0.032786112,4.0114412,7.2497921,8164
1691,Illinois Institute Of Technology,Chicago,IL,91600,72300,6.000946,1.43293,60.558743,4.5524487,3.6340973,0.27318999,1.5553524,1.3136578,244.6666667
1216,University Of La Verne,Los Angeles,CA,72300,48600,12.084086,1.0273737,30.038504,0.98295677,3.6298785,0.11878134,-2.3146896,-5.6973414,285.3333333
3504,Martin Methodist College,Columbia,TN,62000,37000,19.1098,0.068146855,18.984327,0.053681683,3.6278672,0.010258463,-6.538753,-9.4820976,66
2785,New York University,New York,NY,130500,58100,6.9385424,8.8063698,52.27713,7.4537716,3.6272709,0.51718313,-1.6678948,-3.2508402,3738.666667
2835,State University Of New York At Albany,Albany,NY,98000,56300,8.3287802,0.81296134,43.444027,2.7103276,3.6183577,0.22573723,-0.38194475,-2.0655417,2213
18,San Francisco Community College District,San Francisco,CA,53400,33000,18.398703,0.39010939,19.634426,0.35436755,3.6124797,0.065199032,1.086077,-4.2909579,2076.333333
